,A,S,D
"0,0,0",0.0,3.773886304686857e-08,0.0
"4,1,0",-0.003980338279584298,-0.003933293475177215,-0.6766082013389922
"5,1,0",-0.001463618919196468,-0.8098733503090534,-0.739811881413708
"6,1,0",-0.001079330431333833,-0.9704339949551011,-0.9801040482401091
"6,1,1",-0.011470308429886552,-0.9414923721121085,-0.9227445632167944
"5,1,1",-0.015550578805920525,-0.8517362102268103,-0.8778488404752143
"4,1,1",-0.003031093224176817,-0.002909621629864223,-0.0028749602527121374
"4,1,2",-0.013917109356931807,-0.014491203956222384,-0.014171650489305705
"5,1,2",-0.021591090832939207,-0.9568091777623994,-0.9886821438697727
"6,1,2",-0.01708599501941698,-0.9046985672576994,-0.895951359272295
"6,1,3",-0.03771930158006068,-0.9999166221127801,-0.9145451186335622
"4,2,0",-0.5361599290593122,-1.272886274280949,-0.9847853155722953
"3,2,0",-0.914851680603309,-1.0267131206594846,-0.04647080503105489
"3,2,1",-0.013504758442126544,-0.012635998137658854,-0.013108221085685868
"4,2,1",-0.019180425481607585,-0.019481663540147444,-0.8888721826755043
"5,2,1",-0.018431274520672898,-0.9381462920776635,-0.018850682243940292
"5,2,2",-0.08719551884717566,-0.8412578325254102,-1.0071250710223503
"4,2,2",-0.07256082610012646,-0.07170809739703468,-0.07185665565843699
"3,2,2",-0.0740016127636055,-0.0736935684385643,-0.07439175283931779
"3,2,3",-1.252148188197883,-0.30870228739882893,-0.30770711670911577
"2,2,3",-0.9962930422133416,-0.9661889580393851,-0.4727510412081802
"1,2,3",-0.9801856801561051,-0.9771286230248861,-0.22460577660027264
"1,2,4",-0.9687865284349101,-0.9900000000527532,-0.2194961704533515
"3,1,2",-0.014732580063552063,-0.9325710500770327,-0.0143300338351733
"2,1,2",-0.019246866292870857,-0.9607837175457666,-0.019324493523279477
"1,1,3",-0.9903200366342245,-1.0087685290642194,-0.07550300269182225
"3,1,1",-0.9516128898680432,-0.9142395447312309,-0.011247484710869286
"3,1,3",-1.0641452933752664,-0.10199937493924556,-0.10588450535083298
"2,1,3",-0.09865743942170699,-1.0592318739363333,-0.09825810306689578
"4,1,4",-1.0794906163451463,-0.8982725913159463,-0.1552888891429418
"5,1,4",-0.06965736364602897,-1.0654170357054011,-0.931042737568648
"5,1,5",-0.3790640417291988,-1.6427743693603434,-1.652990828769834
"6,1,5",-0.07245417876938474,-0.967493176746725,-0.9337858825744667
"5,1,6",0.11936116970553419,0.003772393449775918,-0.006541201399389928
"5,2,0",-0.07828897685377595,-0.9019667288591727,-0.8618423629962977
"2,2,1",-0.8523921980041981,-0.837271733417806,-0.029441718500861032
"2,2,2",-0.9175310026804973,-0.8344307103380724,-0.11544331226230682
"4,2,3",-0.4368367443978321,-0.43274389686194176,-0.43068986683467436
"5,2,3",-0.2772076939540333,-0.27742842178090593,-0.9359549637813674
"6,2,4",-0.9128456269285465,-2.5753224824637817,-1.8961730255546971
"5,2,4",-2.718391403208553,-2.114631363072062,-2.518952925547096
"3,1,0",-0.8602552797351898,-0.9046776533849938,-0.006897876413110583
"1,2,2",-0.9713077053131081,-0.9811838416868037,-0.030637989144176817
"4,2,4",-0.9751416772417478,-0.8456285053321557,-0.9401198449672137
"6,2,2",-0.06465311245484888,-2.7419772576975197,-0.9265169121723078
"6,2,3",-0.26365576539325913,-0.9478173685394755,-0.9655336316981381
"3,2,4",-2.6070533695790155,-2.129824516116492,-3.2119585256029852
"6,2,1",-0.032585423455452504,-0.8534813781591735,-0.7968488571819219
"4,1,3",-0.10468347200121687,-0.09881838979957973,-0.09590032263157239
"3,1,4",-0.9545858764401006,-0.940705659939282,-0.47544942759938486
"2,1,4",-1.8289827474523417,-1.923159433006614,-1.397472600639178
"1,1,4",-0.9758016845986154,-1.0088776889462687,-0.08660750356302374
"1,2,1",-1.9021858676502945,-1.9603249579512894,-0.007777959615616725
"2,2,4",-2.706157305350372,-2.673968293874759,-1.719993521157084
"3,2,5",-1.1856327488807754,-0.9801160869324334,-0.6876554874049389
"4,2,5",-1.0496169723368864,-0.9603313951901721,-1.9899070315376846
"2,2,6",0.0004962648051680382,0.05209598531481448,0.00058505747883012
"2,2,0",-0.97041687323985,-0.017895261528744807,-0.016441231996896948
"6,2,0",-0.031057133622099657,-1.904833609653449,-0.8939323466133609
"2,2,5",-1.9087769781238342,-1.8206591137599155,-1.3706729040657875
"1,2,0",-0.008010639778499317,-6.094904586486818e-07,-0.00025322994761216565
"4,3,0",-0.003019446733316063,-0.8603254890430952,-0.0031341703555430225
"5,3,0",-0.017105387743845978,-0.9639858313500818,-0.9323748155836633
"6,3,0",-0.0037507357458819958,-0.9510298640332272,-0.9900018539049201
"2,1,0",-0.9138754727894387,-0.9420110602702841,-0.0069309078676550095
"2,1,1",-0.007931476982310887,-0.8023241998950772,-0.010708524812942873
"1,1,1",-0.9423796278091483,-0.9318694055908276,-0.014745344533474763
"1,1,2",-0.9899999999999974,-0.0023316983301532777,-0.002919852732186517
"1,2,5",-0.999179501865937,-0.025681013484323376,-0.02323277612525629
"5,3,1",-0.0018961735785671492,-0.9903698890935869,-0.9901080235242641
"4,3,2",-0.0008335526544380875,-0.0007648943272635664,-0.0008460890271377987
"3,3,2",-0.0005199471795864026,-0.0005500343786478209,-0.0006036487614876998
"2,3,3",-0.9510718190433327,-0.9605960947210912,-0.00985944985789124
"6,3,1",-0.013880142296812358,-1.8747204830947135,-0.9421818130546421
"5,3,2",-0.0016548905111058222,-0.0077573585426963096,-0.0018296387107105184
"3,3,3",-0.0006237332505202913,-1.0002948648738201,-0.0006891106395040861
"4,3,3",-0.021954900257895617,-0.022582861654807034,-0.02228727466316585
"5,3,3",-0.019406818971771118,-0.016432563512683157,-0.9704385728894869
"5,3,4",-1.0319396859750511,-0.04942755442663343,-0.9882506071882163
"6,3,4",-0.7602091555348305,-0.9977392092960793,-0.9903959419197524
"5,1,3",-0.03738863896951219,-0.9250281059732057,-0.03417206799949378
"6,1,4",-0.11542582076057957,-0.9311947274227258,-0.9805610127392717
"4,1,5",-0.8778870947140595,-0.7222549983844802,-1.112733772198773
"4,1,6",0.1116178370009585,0.012431012489190412,0.0021946963383937495
"3,1,6",0.0,0.00043063089308651955,0.046396063542571475
"6,1,6",0.03313425182688291,0.0008138934311782953,0.021130692994887783
"5,2,5",-0.9633591079203163,-0.9899999946383446,-0.15168055367829855
"6,2,5",-1.2600941013830198,-3.6901733849283227,-1.9220696733438667
"6,2,6",0.018164838565518884,-0.9902587685032376,0.00041734434040117664
"6,3,2",-0.01939004181085995,-0.9414807933440241,-0.9801797295988461
"3,1,5",-0.01170138439195671,-0.9704848340244768,-0.0167993125327919
"3,2,6",-0.9029986505338992,0.001426951775821324,0.0985095446008289
"6,3,3",-0.033932894651076705,-0.980102961043504,-0.9605959242110595
"3,3,0",-0.00017321922547847854,-0.00022596172775864125,-0.0001746297914348935
"2,3,1",-0.980376665722937,-1.9605959985776313,-0.0069522163814898655
"1,3,1",-1.0,-0.9747783095938084,-0.011184579914711973
"2,3,2",-1.950635059848699,-1.000566056442367,-0.0014909726392944788
"1,3,2",-1.000000048103079,-1.0,-0.0004504130667619062
"3,3,1",-0.00016582607723632486,-0.0001360685019199931,-8.621493257650401e-05
"2,3,0",-0.960596572861994,-0.004949540908882811,-0.00010650758864393805
"4,3,1",-0.00019397277854259844,-0.0003435944075062343,-0.0002952781322858361
"2,3,4",-0.9899983201785421,-0.9799761533334207,-0.0049979522321387275
"3,3,4",-0.001868305742052887,-0.005631299150907079,-0.9700626165770351
"2,3,5",-0.006727283255777848,-0.9897217446479858,-0.001130688864901577
"3,3,5",0.00018976820145797732,0.007887969093792229,0.00028352353809578304
"4,3,5",0.017900524726996218,0.00036443870900213177,-0.9811918129280319
"4,3,6",0.014899135361729262,0.0001670001212477162,0.0
"5,3,6",0.0,0.008092288144596112,0.0
"4,3,4",-0.004829890992026392,-0.003980221067855779,-0.0007465482439108345
"5,3,5",0.00031170542443579636,8.525650353222213e-05,0.0
"1,1,0",-0.9900394983589776,-0.0012771009577983417,-0.00012286792828385219
"3,3,6",0.006627554960152956,0.033003582476191506,0.00016960677342132334
"1,3,0",-1.615093320753999e-05,-4.360897923330951e-08,-2.898431234889752e-05
"4,2,6",0.0008159839119686331,0.0006322951331225263,0.006420760742962054
"5,2,6",0.02838732378169633,0.00025420116281153526,0.0
"1,3,3",-0.00033829818574792703,-1.0,-0.000794386801119715
"1,3,5",-0.9900000001612672,-0.004730617841804414,-0.0002081723169280512
"1,3,4",-0.00020341577355304896,-0.006253833908993511,-0.001348564409626181
"1,2,6",0.0004768933228696401,-1.5745889459162845e-07,0.0
"2,3,6",-0.9902089277507488,-0.9819837791153211,0.004859890186299646
"1,3,6",-0.000109730277878247,-0.9804254430784842,-0.00027738379467189976
"6,3,5",-2.748086211147052e-05,-0.9999999999985182,-0.005314570259064559
"2,1,5",-0.9899108953860553,0.0012182362575670594,-0.0011973500437404525
"6,3,6",-1.7897370351492994e-13,0.0,-2.7264984554336647e-05
"2,1,6",0.0,0.0,0.02821009875222179
"1,1,5",0.0,0.00022551843437101387,0.0
